millesime;manifestation;num_site;name;description;animations;condition_acces;unesco;musee_national;parcours;adresse;logo;tarifs;accessibilite;www;info_mail;info_tel;resa_mail;resa_tel;visite;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_millesime;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"2017";"Fête de la musique 2017";"17";"Spirit True Badour";"Electro content, chansons françaises, extra pop, psychédélice";"";"19h/21h";"";"";"Musique actuelle";"Place Pie";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845322.6708680046";"6318251.910537203";"4.810379356616882";"43.94827636728354";"43.94827636728354";"4.810379356616882"
"2017";"Fête de la musique 2017";"18";"Simone";"Rock, pop, funk, hip-hop, reprises et compositions";"";"21h30/22h45";"";"";"Musique actuelle";"58 Rue de la Bonneterie";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845320.2412302186";"6318110.799552521";"4.810308804477009";"43.94700725494181";"43.94700725494181";"4.810308804477009"
"2017";"Fête de la musique 2017";"18";"MC Odysé";"Rap, hip-hop, créations originales";"";"22h45/23h45";"";"";"Hip-Hop";"58 Rue de la Bonneterie";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845320.2412302186";"6318110.799552521";"4.810308804477009";"43.94700725494181";"43.94700725494181";"4.810308804477009"
"2017";"Fête de la musique 2017";"19";"Les joyeux Lurons";"Rock";"";"18h30/19h15";"";"";"Rock";"1 Rue Portail Matheron";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845416.4900397363";"6318382.394019326";"4.811585";"43.94943100002227";"43.94943100002227";"4.811585"
"2017";"Fête de la musique 2017";"19";"Porncars";"Punk, rock, ska";"";"19h30/20h30";"";"";"Rock";"1 Rue Portail Matheron";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845416.4900397363";"6318382.394019326";"4.811585";"43.94943100002227";"43.94943100002227";"4.811585"
"2017";"Fête de la musique 2017";"19";"Little Vicious Monkeys";"Rock, pop, punk festif";"";"20h45/21h45";"";"";"Rock";"1 Rue Portail Matheron";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845416.4900397363";"6318382.394019326";"4.811585";"43.94943100002227";"43.94943100002227";"4.811585"
"2017";"Fête de la musique 2017";"19";"Eight Square Meters";"Pop rock";"";"22h/23h";"";"";"Rock";"1 Rue Portail Matheron";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845416.4900397363";"6318382.394019326";"4.811585";"43.94943100002227";"43.94943100002227";"4.811585"
"2017";"Fête de la musique 2017";"19";"Screamy Bollock";"Rock métal stoner";"";"23h15/00h15";"";"";"Rock";"1 Rue Portail Matheron";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845416.4900397363";"6318382.394019326";"4.811585";"43.94943100002227";"43.94943100002227";"4.811585"
"2017";"Fête de la musique 2017";"21";"The Irons";"Tribute au groupe Iron Maiden";"";"17h30/19h30";"";"";"Rock";"Place de l'Horloge";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844964.6033454556";"6318376.364068935";"4.805955686155993";"43.9494698961602";"43.9494698961602";"4.805955686155993"
"2017";"Fête de la musique 2017";"21";"Spectacul'art";"Rock en chœur";"";"20h/21h30";"";"";"Rock";"Place de l'Horloge";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844964.6033454556";"6318376.364068935";"4.805955686155993";"43.9494698961602";"43.9494698961602";"4.805955686155993"
